Sample	Latitude	Longitude	Salinity	NO2 (umol/L)	PO4 (umol/L)	NO2NO3 (umol/L)	Mean Chloro HPLC adjusted (mg Chl/m3)	Mean Temperature deg C	Mean Oxygen adjusted (umol/Kg)	Mean Flux at 150m	NPP 8d VGPM (mgC/m2/day)
S138SUR	6.3332	-102.943217	33.407042	0	0.16	0	0.013449	26.6362	196.88275	1.839439	234.775
S140SUR	7.411717	-79.302583	28.919008	0	0.08	0	0.040695	26.62925	205.2885	6.201284	346.295
S141SUR	9.849067	-80.0384	34.347208	0	0.01	0	0.126428	27.119358	195.523833	18.283473	227.9515
S142DCM	25.656496	-88.470725	36.172194	0.02	0.02	0.06	0.164483	24.948842	192.971638	4.063066	323.202
S142SUR	25.510083	-88.383033	36.193733	0.02	0	0.05	0.163338	24.96555	194.2675	5.325081	320.2775
S145SUR	39.23015	-70.032517	35.18335	0.11	0.35	4.38	0.296307	14.11885	233.859	0.977217	378.0515
S146SUR	34.6775	-71.302333	36.4626	0.22	0.02	0.74	0.12799	19.1288	214.365	0.496762	391.969
S148SUR	31.696217	-64.247217	36.5996	0.09	0	0.15	0.166512	20.3973	212.5623	1.789729	382.043
S149SUR	34.096367	-49.890617	36.4072	0.25	0.06	0.68	0.214174	18.732683	220.189917	5.539553	601.62
S150DCM	35.751167	-37.051233	36.240197	0.04	0	0.17	0.339591	17.663574	230.132971	0.201174	627.014
S150SUR	35.90705	-37.26095	36.3123	0.04	0.01	0.17	0.196921	17.583075	228.375583	0.412354	573.697
S151DCM	36.194437	-28.882892	36.162887	0.01	0.01	0.05	0.247378	16.751066	228.54515	1.379385	466.322
S151SUR	36.155767	-29.0089	36.23775	0.02	0.01	0.02	0.040347	17.260108	232.053333	4.591674	444.0935
S152DCM	43.739633	-16.882796	35.9897	0.32	0.17	2.26	0.26829	14.282106	240.84265	4.113166	442.736
S152SUR	43.6876	-16.851517	35.986042	0.31	0.16	2.16	0.238225	14.28065	243.148	1.522932	423.271
